,gender,hotness,id,left_swipes,matches,right_swipes,threshold,x,y
0,male,0.356290065218,0.0,"516,658,749,904,919,956","952,997","524,525,555,578,754,762,798,814,827,840,867,914,951,952,997",0.824759623919,0.859773348567,0.326858580743
1,male,0.119425493635,1.0,"507,636,715,764,970,978,986",922,"547,548,696,816,878,922,954",0.581027488507,0.0856046499873,0.710832022046
2,male,0.64389282518,2.0,"580,675,950","502,530,650,731,793,796,856,966","502,530,643,650,731,793,796,856,966",0.556562306496,0.426226924031,0.572656437922
3,male,0.133884460207,3.0,,"686,709,722,751,792,863,999","570,597,670,686,709,722,733,751,753,771,776,792,825,863,897,940,961,999",0.967958146927,0.343902956248,0.0505977452965
4,male,0.0211315043179,4.0,"523,591,599,689,732,758,819,832,870,936",769,"702,769,854",0.305352927546,0.849636386124,0.732410332009
5,male,0.238846393845,5.0,"677,803,821,883,920","811,921","539,619,790,804,811,860,910,921,960,977",0.583220636534,0.594918302096,0.496935255475
6,male,0.864012534191,6.0,"535,570,645,664,704,761,776,835,842,875","557,564,659,851,874","552,557,564,659,851,874",0.37629488031,0.178863956198,0.106784212998
7,male,0.441082789057,7.0,"746,800,859","717,849,949","528,565,647,672,717,736,747,849,885,911,949",0.767694209722,0.963439489227,0.0873267678607
8,male,0.367116678389,8.0,"507,574,630,636,679,764,775,810,818,878,954,959,981","696,816","623,696,737,816",0.306580308081,0.0735643791891,0.804831627558
9,male,0.0380836041023,9.0,"679,810,959,981",,"574,582,623,630,707,775,816,818,841,954",0.488667727236,0.0741631928083,0.873403934055
10,male,0.970200476044,10.0,636,"509,511,561,577,601,623,632,703,728,829,848,900,934","509,511,561,577,601,623,632,703,728,829,848,900,934",0.64255234515,0.185156334642,0.808908673405
11,male,0.505560125372,11.0,622,"530,580,595,607,625,650,742,915,933,946","501,530,569,580,595,607,625,650,742,790,824,838,915,933,946",0.965726561275,0.520076928977,0.650191236187
12,male,0.350384429982,12.0,"801,835,894","558,851","558,685,706,834,842,851",0.618792197156,0.0400722213658,0.0963532480934
13,male,0.670599071405,13.0,"538,550,778,794,830,855,884,935,992","826,927,995","545,766,767,826,923,927,995",0.366558276265,0.513157891933,0.957531048443
14,male,0.111353590256,14.0,"518,526,667,788,808,973",695,"554,609,671,691,695,727,791,896,898,989",0.690754385216,0.930748091509,0.922407321139
15,male,0.315443872544,15.0,"532,544,546,566,581,600,612,648,670,686,692,709,722,723,751,755,768,784,786,846,857,861,876,930,944","756,893","559,756,893",0.063501163539,0.385928509364,0.207533985343
16,male,0.0441906599021,16.0,"511,561,655,728,889,976",,"577,601,623,632,703,829,848,900",0.446687388079,0.224662441496,0.852210293127
17,male,0.252363434609,17.0,"574,582,630,679,707,775,810,816,818,841,954,959,981",,737,0.0338859687292,0.0370131284034,0.856435153679
18,male,0.966068058876,18.0,"681,809,823,852,924,974","629,649,683,700,724,906,941,987,991","629,649,683,700,724,906,941,987,991",0.52456834297,0.125221267271,0.358149244287
19,male,0.568941365907,19.0,"607,625,915","595,742,933","501,568,569,595,604,742,790,933",0.65003140525,0.603594203245,0.634452530716
20,male,0.216487465976,20.0,"688,725","682,731","590,598,602,628,643,675,682,731,741,793,804,856,890,950,960,971",0.845135455764,0.450194617011,0.47511099632
21,male,0.467936859359,21.0,"507,636","574,679,696,810,816,922,981","574,679,696,737,764,775,810,816,878,922,954,981",0.944137354971,0.0510004738142,0.742265942357
22,male,0.856605497531,22.0,"523,591,608,689,732,758,782,785,819,831,832,870,877,936,968","714,769,854","714,769,854",0.462218358567,0.874499473203,0.646515147472
23,male,0.860321221919,23.0,"506,556,587,644,661,744,760,895,943,958","572,713,763,927,998","572,620,713,763,927,998",0.36446559325,0.66567542397,0.886716393809
24,male,0.020933746801,24.0,"626,725,944",,"508,590,596,653,656,669,682,741,750,783,853,964,971,975",0.836438331724,0.362724613012,0.368344673924
25,male,0.0480072898922,25.0,"589,813,831,982",,"527,657,687,714,979",0.330172169057,0.908935792536,0.517294947329
26,male,0.848141570149,26.0,"617,638,674,684,719,828,892,955","541,668,748,902,967","541,668,748,902,967,994",0.587242089812,0.787964173984,0.151864053698
27,male,0.818553765007,27.0,"680,700,724,738,809,823,852,906,924,974","649,991","649,991",0.210910133019,0.0895539808548,0.398783494672
